feature,importance
india_vix_vs_60d,0.12649587296649922
sp500_vs_200d,0.08789143644450124
nifty50_vs_200d,0.08289279973993734
vix_vs_60d,0.06262448509570116
nifty50_return_1d,0.06257635076409115
sector_return_5d,0.05052536275479157
dxy_vs_60d,0.049798650523052344
vix_vs_20d,0.04975026248779783
adv_decline_ratio,0.0491230738233732
us10y_vs_60d,0.04403406860750605
sector_rsi_avg,0.03278915603501718
india_vix_change_pct,0.03176719728245748
nifty50_return_5d,0.02729175715033097
sp500_return_1d,0.025708197605576393
vix_change_pct,0.024341974874622356
dxy_return_1d,0.022845642429701236
sector_return_1d,0.018851330799640742
sector_breadth_score,0.018147115751037567
sector_volume_ratio,0.016202512463936974
price_to_sma20,0.01149690223753323
bb_position,0.009958736073984138
defensive_risk_score,0.007555887142531466
return_5d,0.006890841879199344
atr_pct,0.0066594481256320205
stochastic_k,0.005972252418412907
price_to_high_20d,0.005359680599842216
return_10d,0.004918186425956858
price_to_low_20d,0.0048002452405703664
stochastic_d,0.004623630927364951
volume_ratio,0.003922832321161123
price_to_sma200,0.003387670403394514
risk_adjusted_momentum,0.002902687375425674
rsi,0.002857846470920036
sr_pivot_position,0.0028482805975264614
bb_width_pct,0.0027255190322212465
price_to_sma50,0.0024118927652462094
macd_normalized,0.002126012304708244
stock_return_vs_nifty_5d,0.0018823071543158354
global_market_sync,0.001680251751769772
beta,0.0016134136799687588
macd_hist_normalized,0.0015679746768546563
gap,0.0013909722821788823
relative_strength_20d,0.001322744975872178
return_1d,0.00131513797260178
contrarian_strength,0.0011436142524288626
obv_divergence,0.001133206239352552
momentum_vs_sector,0.0011124102253942496
outperformance_in_greed,0.001068890045338277
return_20d,0.0009526433495663645
quality_opportunity,0.0008836125768565262
volume_change,0.000837266907332541
sector_momentum_confirmed,0.0007976374942834507
outperformance_in_fear,0.0007805432033598971
stock_return_vs_sector,0.000772599996572937
beta_adjusted_return,0.0007147175817577954
stock_return_vs_nifty,0.0006934538836967841
rsi_vs_sector_avg,0.0006721204733509134
volume_vs_sector,0.0006073473662169594
quality_in_volatility,0.0005641404608282084
volume_anomaly,0.000555929856189025
sector_leader_conviction,0.00044760224350496247
sma_cross_signal,0.00037534824231747247
breakout_low,3.0389533969856836e-05
breakout_high,7.923632917569996e-06
