feature,importance
india_vix_vs_60d,0.10986134455566912
nifty50_vs_200d,0.10004015869498323
sp500_vs_200d,0.07402462558694861
vix_vs_60d,0.05630587387725118
adv_decline_ratio,0.05095444250720869
nifty50_return_1d,0.04986867800694627
us10y_vs_60d,0.04822989570035273
vix_vs_20d,0.04436203622090374
sector_return_5d,0.04401596496045614
dxy_vs_60d,0.041762351329621084
india_vix_change_pct,0.0401572587158979
sector_rsi_avg,0.037524577591759846
nifty50_return_5d,0.028807094529496587
dxy_return_1d,0.028364255463735947
sp500_return_1d,0.026971933858762967
sector_return_1d,0.023679135103196046
vix_change_pct,0.023228347870719212
sector_breadth_score,0.020628527746514767
sector_volume_ratio,0.01295776299696249
bb_position,0.011647354379369144
stochastic_d,0.010539006757168137
defensive_risk_score,0.00876019859500737
price_to_sma20,0.008466809939121895
volume_ratio,0.006908452008718345
price_to_high_20d,0.00685411012144044
price_to_sma200,0.006575093204305414
return_5d,0.0063169788324678585
stochastic_k,0.005818379634924497
price_to_low_20d,0.005762206047306997
return_10d,0.005463425806355973
bb_width_pct,0.004412448418714676
macd_hist_normalized,0.003601787464852227
price_to_sma50,0.0034435681833528548
stock_return_vs_nifty_5d,0.0032932097884963356
atr_pct,0.003243603197945737
sr_pivot_position,0.0026205651903015935
rsi,0.002616135948895069
risk_adjusted_momentum,0.002556144897623581
beta,0.0022718714028797772
global_market_sync,0.0020446661725838935
contrarian_strength,0.0019488927925986747
macd_normalized,0.0018423758266878174
return_1d,0.0016548216521939394
gap,0.0016232184940740161
relative_strength_20d,0.0014995080650853244
obv_divergence,0.0013684837569640398
return_20d,0.0013582134666216092
sector_momentum_confirmed,0.0013338914636552624
breakout_low,0.0012110853794666141
quality_opportunity,0.001109730285571115
outperformance_in_fear,0.0010281995465490478
beta_adjusted_return,0.000931613033212374
momentum_vs_sector,0.000909823954666092
outperformance_in_greed,0.0009071968410340559
stock_return_vs_nifty,0.0008995728462607035
quality_in_volatility,0.0008731630067041152
volume_anomaly,0.0008108591141761087
rsi_vs_sector_avg,0.0008086818955588028
volume_change,0.0007855709457102714
stock_return_vs_sector,0.0007526330765559492
volume_vs_sector,0.0007069276231209258
sector_leader_conviction,0.00046815421711808537
sma_cross_signal,0.00020552839289987625
breakout_high,1.5730142968049886e-06
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
