feature,importance
india_vix_close,0.1526959165587649
nifty50_close,0.12681573388194187
sp500_close,0.11222217571198885
vix_close,0.09950398320412712
dxy_close,0.07974123971280751
us_10y_yield_close,0.07419430919331702
nifty50_return_1d,0.04069363895624094
india_vix_change_pct,0.03661929751535599
sp500_return_1d,0.03477565625695975
dxy_return_1d,0.027958987011564768
vix_change_pct,0.02772624380945793
bb_position,0.01715555786870961
price_to_sma20,0.01631756622951099
return_5d,0.013443152280252984
volume_ratio,0.011230483253378205
return_10d,0.010908584599955208
bb_upper,0.009025265755859392
stochastic_k,0.008382850864781495
sma_20,0.008171219453032128
high_20d,0.008052498887101175
stochastic_d,0.007880305497866648
sma_200,0.00742400862887301
macd_histogram,0.007103654074516193
bb_middle,0.006663140768882995
price_to_sma50,0.004731906226777312
low_20d,0.004665060797172185
macd_signal,0.004011038531671919
atr_pct,0.0035435643416340886
return_20d,0.003202691014504936
sr_pivot_position,0.002882287421251206
bb_lower,0.0027597166107449648
return_1d,0.0027032423938474484
macd,0.002516274458249873
ema_12,0.00241420910166903
ema_26,0.002374601820096608
rsi,0.002367660534889563
atr,0.002171713794528276
gap,0.0020839108459737767
resistance_1,0.0018701635457947937
sma_50,0.0018688379199220467
obv_ema,0.001654680287678725
pivot,0.0016185039099990103
sma_cross_signal,0.0015601802005320708
support_1,0.0014057406720439608
obv,0.0012549787302629652
breakout_low,0.0008318080601501776
volume_change,0.0007033447543609741
breakout_high,9.841405099745895e-05
